"Date","Followers","Follower_Change","Num_Tweets"
2018-04-08,50080175,46569,7
2018-04-07,50033606,58061,7
2018-04-06,49975545,36308,4
2018-04-05,49939237,50876,6
2018-04-04,49888361,39819,8
2018-04-03,49848542,41701,14
2018-04-02,49806841,41046,4
2018-04-01,49765795,38031,3
2018-03-31,49727764,38542,1
2018-03-30,49689222,40603,5
2018-03-29,49648619,41991,8
2018-03-28,49606628,41138,1
2018-03-27,49565490,42059,5
2018-03-26,49523431,43364,8
2018-03-25,49480067,43361,1
2018-03-24,49436706,45837,6
2018-03-23,49390869,52151,6
2018-03-22,49338718,39987,8
2018-03-21,49298731,37511,1
2018-03-20,49261220,42187,4
2018-03-19,49219033,44099,3
2018-03-18,49174934,42514,4
2018-03-17,49132420,50483,4
2018-03-16,49081937,33224,6
2018-03-15,49048713,48873,8
2018-03-14,48999840,56446,8
2018-03-13,48943394,41627,7
2018-03-12,48901767,39475,5
2018-03-11,48862292,41955,10
2018-03-10,48820337,51647,5
2018-03-09,48768690,33290,6
2018-03-08,48735400,50995,5
2018-03-07,48684405,58647,9
2018-03-06,48625758,52453,5
2018-03-05,48573305,54882,2
2018-03-04,48518423,45629,4
2018-03-03,48472794,29871,6
2018-03-02,48442923,30053,11
2018-03-01,48412870,36659,8
2018-02-28,48376211,40278,9
2018-02-27,48335933,45804,0
2018-02-26,48290129,45058,1
2018-02-25,48245071,43590,15
2018-02-24,48201481,54097,9
2018-02-23,48147384,38842,10
2018-02-22,48108542,45376,5
2018-02-21,48063166,28799,13
2018-02-20,48034367,50879,0
2018-02-19,47983488,46030,11
2018-02-18,47937458,20716,9
2018-02-17,47916742,46852,4
2018-02-16,47869890,8582,7
2018-02-15,47861308,30746,4
2018-02-14,47830562,29071,2
2018-02-13,47801491,27588,3
2018-02-12,47773903,58885,4
2018-02-11,47715018,73449,9
2018-02-10,47641569,37672,3
2018-02-09,47603897,34687,6
2018-02-08,47569210,50901,5
2018-02-07,47518309,52779,7
2018-02-06,47465530,48569,5
2018-02-05,47416961,50176,2
2018-02-04,47366785,61521,7
2018-02-03,47305264,32887,5
2018-02-02,47272377,-486,4
2018-02-01,47272863,32690,0
2018-01-31,47240173,-9847,1
2018-01-30,47250020,19553,1
2018-01-29,47230467,38956,2
2018-01-28,47191511,32212,5
2018-01-27,47159299,33700,7
2018-01-26,47125599,47294,3
2018-01-25,47078305,32197,4
2018-01-24,47046108,30364,6
2018-01-23,47015744,29700,4
2018-01-22,46986044,40530,3
2018-01-21,46945514,43977,14
2018-01-20,46901537,34111,7
2018-01-19,46867426,75513,9
2018-01-18,46791913,38363,8
2018-01-17,46753550,40123,9
2018-01-16,46713427,42375,12
