favorite_count,Followers,Follower_Change,Num_Tweets,Year,Month,Week,Day,Hour,Holiday,Word_Count,Any_urls,Character_Count,avg_word_len,Num_Stopwords,Any_Hashtags,Num_Hashtags,Any_Mentions,Num_Mentions,Num_Upper,Upper,Num_Exclaim,Any_Clinton,Any_Obama,Any_MAGA,Any_ad,FakeNews,Any_Immigration,JoinMe,Conference,Rally,Welcomes,Violence,tf,idf,tfidf,Sentiment,Subjectivity
109822,54630595.0,17609.0,12,2018,9,39,25,2,0,3,0,22,6.666666666666667,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0625,6.033227549185838,0.3770767218241149,0.0,0.0
51240,54630595.0,17609.0,12,2018,9,39,25,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
39123,54612986.0,17292.0,3,2018,9,39,24,23,0,24,1,132,4.739130434782608,10,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.011764705882352941,5.253179081846985,0.06180210684525864,0.4681818181818182,0.6772727272727272
36681,54612986.0,17292.0,3,2018,9,39,24,22,0,25,1,144,5.0,9,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.012658227848101269,5.17259022979382,0.06547582569359267,0.4681818181818182,0.6772727272727272
37658,54612986.0,17292.0,3,2018,9,39,24,21,0,11,1,66,6.222222222222222,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.023255813953488372,5.45276852492938,0.12680857034719487,0.4,0.8
87822,54612986.0,17292.0,3,2018,9,39,24,21,0,25,0,159,5.4,11,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.009259259259259259,6.319576771898407,0.05851459973980006,0.6,0.8875
54195,54612986.0,17292.0,3,2018,9,39,24,20,0,7,1,48,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02702702702702703,6.079782623630281,0.1643184492873049,0.4,0.8
36651,54612986.0,17292.0,3,2018,9,39,24,20,0,24,1,124,4.590909090909091,8,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.014084507042253523,5.306387071327488,0.07473784607503506,0.4681818181818182,0.6772727272727272
57982,54612986.0,17292.0,3,2018,9,39,24,16,0,11,1,62,5.2,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02040816326530612,6.083880483003177,0.12416082618373829,0.0,0.0
36512,54612986.0,17292.0,3,2018,9,39,24,14,0,17,1,100,5.25,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518518518518517,5.682905144733134,0.1052389841617247,0.1,0.1
