Tweet,Predictions,Current Likes,Absolute Error,Percent Error
Great job being done by Congressman Keith Rothfus of Pennsylvania. Thank you Keith!,83439.0,43454,39984.0,92.0
"In Florida there is a choice between a Harvard/Yale educated man named @RonDeSantisFL who has been a great Congressman and will be a great Governor - and a Dem who is a thief and who is Mayor of poorly run Tallahassee, said to be one of the most corrupt cities in the Country!",78159.0,61341,16817.0,27.0
"Many Gang Members and some very bad people are mixed into the Caravan heading to our Southern Border. Please go back, you will not be admitted into the United States unless you go through the legal process. This is an invasion of our Country and our Military is waiting for you!",94200.0,103824,9625.0,9.0
"Had a very good conversation with the newly elected President of Brazil, Jair Bolsonaro, who won his race by a substantial margin. We agreed that Brazil and the United States will work closely together on Trade, Military and everything else! Excellent call, wished him congrats!",96117.0,287932,191816.0,67.0
....of Anger and Outrage and we will then be able to bring all sides together in Peace and Harmony. Fake News Must End!,94003.0,67663,26339.0,39.0
"There is great anger in our Country caused in part by inaccurate, and even fraudulent, reporting of the news. The Fake News Media, the true Enemy of the People, must stop the open &amp; obvious hostility &amp; report the news accurately &amp; fairly. That will do much to put out the flame...",94398.0,108004,13606.0,13.0
